rank	form	normalized_form	combined_count	source_count	source_counts_json
2717	Main	main	1543	3	{"deu_news_2024_1M_words.txt":252,"deu_wikipedia_2021_1M_words.txt":992,"deu-de_web_2021_1M_words.txt":299}
2718	ohnehin	ohnehin	1543	3	{"deu_news_2024_1M_words.txt":1035,"deu_wikipedia_2021_1M_words.txt":209,"deu-de_web_2021_1M_words.txt":299}
2719	plant	plant	1542	3	{"deu_news_2024_1M_words.txt":951,"deu_wikipedia_2021_1M_words.txt":234,"deu-de_web_2021_1M_words.txt":357}
2720	Sorgen	sorgen	1541	3	{"deu_news_2024_1M_words.txt":840,"deu_wikipedia_2021_1M_words.txt":138,"deu-de_web_2021_1M_words.txt":563}
2721	Angeboten	angeboten	1540	3	{"deu_news_2024_1M_words.txt":256,"deu_wikipedia_2021_1M_words.txt":98,"deu-de_web_2021_1M_words.txt":1186}
2722	bestimmen	bestimmen	1540	3	{"deu_news_2024_1M_words.txt":267,"deu_wikipedia_2021_1M_words.txt":449,"deu-de_web_2021_1M_words.txt":824}
2723	Ungarn	ungarn	1540	3	{"deu_news_2024_1M_words.txt":816,"deu_wikipedia_2021_1M_words.txt":585,"deu-de_web_2021_1M_words.txt":139}
2724	Bundes	bundes	1539	3	{"deu_news_2024_1M_words.txt":323,"deu_wikipedia_2021_1M_words.txt":265,"deu-de_web_2021_1M_words.txt":951}
2725	davor	davor	1539	3	{"deu_news_2024_1M_words.txt":865,"deu_wikipedia_2021_1M_words.txt":351,"deu-de_web_2021_1M_words.txt":323}
2726	Minister	minister	1539	3	{"deu_news_2024_1M_words.txt":627,"deu_wikipedia_2021_1M_words.txt":577,"deu-de_web_2021_1M_words.txt":335}
2727	versorgt	versorgt	1539	3	{"deu_news_2024_1M_words.txt":579,"deu_wikipedia_2021_1M_words.txt":410,"deu-de_web_2021_1M_words.txt":550}
2728	sitzen	sitzen	1538	3	{"deu_news_2024_1M_words.txt":750,"deu_wikipedia_2021_1M_words.txt":333,"deu-de_web_2021_1M_words.txt":455}
2729	Unterschiede	unterschiede	1538	3	{"deu_news_2024_1M_words.txt":394,"deu_wikipedia_2021_1M_words.txt":485,"deu-de_web_2021_1M_words.txt":659}
2730	Anders	anders	1537	3	{"deu_news_2024_1M_words.txt":638,"deu_wikipedia_2021_1M_words.txt":505,"deu-de_web_2021_1M_words.txt":394}
2731	begrenzt	begrenzt	1537	3	{"deu_news_2024_1M_words.txt":309,"deu_wikipedia_2021_1M_words.txt":618,"deu-de_web_2021_1M_words.txt":610}
2732	Kriterien	kriterien	1537	3	{"deu_news_2024_1M_words.txt":265,"deu_wikipedia_2021_1M_words.txt":311,"deu-de_web_2021_1M_words.txt":961}
2733	parallel	parallel	1537	3	{"deu_news_2024_1M_words.txt":306,"deu_wikipedia_2021_1M_words.txt":806,"deu-de_web_2021_1M_words.txt":425}
2734	Siedlung	siedlung	1536	3	{"deu_news_2024_1M_words.txt":132,"deu_wikipedia_2021_1M_words.txt":1325,"deu-de_web_2021_1M_words.txt":79}
2735	jüdischen	jüdischen	1535	3	{"deu_news_2024_1M_words.txt":304,"deu_wikipedia_2021_1M_words.txt":934,"deu-de_web_2021_1M_words.txt":297}
2736	Studiums	studiums	1535	3	{"deu_news_2024_1M_words.txt":49,"deu_wikipedia_2021_1M_words.txt":347,"deu-de_web_2021_1M_words.txt":1139}
2737	Weibchen	weibchen	1535	3	{"deu_news_2024_1M_words.txt":45,"deu_wikipedia_2021_1M_words.txt":1372,"deu-de_web_2021_1M_words.txt":118}
2738	vorstellen	vorstellen	1534	3	{"deu_news_2024_1M_words.txt":742,"deu_wikipedia_2021_1M_words.txt":96,"deu-de_web_2021_1M_words.txt":696}
2739	Angriffe	angriffe	1533	3	{"deu_news_2024_1M_words.txt":1006,"deu_wikipedia_2021_1M_words.txt":366,"deu-de_web_2021_1M_words.txt":161}
2740	Josef	josef	1533	3	{"deu_news_2024_1M_words.txt":577,"deu_wikipedia_2021_1M_words.txt":772,"deu-de_web_2021_1M_words.txt":184}
2741	Krieges	krieges	1533	3	{"deu_news_2024_1M_words.txt":506,"deu_wikipedia_2021_1M_words.txt":916,"deu-de_web_2021_1M_words.txt":111}
2742	vorgenommen	vorgenommen	1533	3	{"deu_news_2024_1M_words.txt":384,"deu_wikipedia_2021_1M_words.txt":540,"deu-de_web_2021_1M_words.txt":609}
2743	planen	planen	1531	3	{"deu_news_2024_1M_words.txt":445,"deu_wikipedia_2021_1M_words.txt":116,"deu-de_web_2021_1M_words.txt":970}
2744	nördlich	nördlich	1530	3	{"deu_news_2024_1M_words.txt":230,"deu_wikipedia_2021_1M_words.txt":1199,"deu-de_web_2021_1M_words.txt":101}
2745	Umfrage	umfrage	1529	3	{"deu_news_2024_1M_words.txt":851,"deu_wikipedia_2021_1M_words.txt":87,"deu-de_web_2021_1M_words.txt":591}
2746	Kein	kein	1528	3	{"deu_news_2024_1M_words.txt":802,"deu_wikipedia_2021_1M_words.txt":143,"deu-de_web_2021_1M_words.txt":583}
2747	Hund	hund	1527	3	{"deu_news_2024_1M_words.txt":720,"deu_wikipedia_2021_1M_words.txt":396,"deu-de_web_2021_1M_words.txt":411}
2748	ausdrücklich	ausdrücklich	1526	3	{"deu_news_2024_1M_words.txt":272,"deu_wikipedia_2021_1M_words.txt":315,"deu-de_web_2021_1M_words.txt":939}
2749	Auszeichnung	auszeichnung	1526	3	{"deu_news_2024_1M_words.txt":372,"deu_wikipedia_2021_1M_words.txt":453,"deu-de_web_2021_1M_words.txt":701}
2750	Eigentümer	eigentümer	1525	3	{"deu_news_2024_1M_words.txt":485,"deu_wikipedia_2021_1M_words.txt":549,"deu-de_web_2021_1M_words.txt":491}
2751	Sächsischen	sächsischen	1525	3	{"deu_news_2024_1M_words.txt":47,"deu_wikipedia_2021_1M_words.txt":105,"deu-de_web_2021_1M_words.txt":1373}
2752	Bedürfnisse	bedürfnisse	1524	3	{"deu_news_2024_1M_words.txt":314,"deu_wikipedia_2021_1M_words.txt":211,"deu-de_web_2021_1M_words.txt":999}
2753	falsch	falsch	1524	3	{"deu_news_2024_1M_words.txt":736,"deu_wikipedia_2021_1M_words.txt":397,"deu-de_web_2021_1M_words.txt":391}
2754	Konkurrenz	konkurrenz	1524	3	{"deu_news_2024_1M_words.txt":835,"deu_wikipedia_2021_1M_words.txt":420,"deu-de_web_2021_1M_words.txt":269}
2755	Vortrag	vortrag	1524	3	{"deu_news_2024_1M_words.txt":273,"deu_wikipedia_2021_1M_words.txt":237,"deu-de_web_2021_1M_words.txt":1014}
2756	Keine	keine	1523	3	{"deu_news_2024_1M_words.txt":811,"deu_wikipedia_2021_1M_words.txt":160,"deu-de_web_2021_1M_words.txt":552}
2757	überzeugen	überzeugen	1522	3	{"deu_news_2024_1M_words.txt":553,"deu_wikipedia_2021_1M_words.txt":354,"deu-de_web_2021_1M_words.txt":615}
2758	Internetseite	internetseite	1521	3	{"deu_news_2024_1M_words.txt":188,"deu_wikipedia_2021_1M_words.txt":103,"deu-de_web_2021_1M_words.txt":1230}
2759	Aufnahmen	aufnahmen	1519	3	{"deu_news_2024_1M_words.txt":395,"deu_wikipedia_2021_1M_words.txt":810,"deu-de_web_2021_1M_words.txt":314}
2760	erworben	erworben	1519	3	{"deu_news_2024_1M_words.txt":236,"deu_wikipedia_2021_1M_words.txt":632,"deu-de_web_2021_1M_words.txt":651}
2761	Rücken	rücken	1519	3	{"deu_news_2024_1M_words.txt":534,"deu_wikipedia_2021_1M_words.txt":671,"deu-de_web_2021_1M_words.txt":314}
2762	aufnehmen	aufnehmen	1518	3	{"deu_news_2024_1M_words.txt":452,"deu_wikipedia_2021_1M_words.txt":399,"deu-de_web_2021_1M_words.txt":667}
2763	jene	jene	1518	3	{"deu_news_2024_1M_words.txt":853,"deu_wikipedia_2021_1M_words.txt":403,"deu-de_web_2021_1M_words.txt":262}
2764	österreichischen	österreichischen	1518	3	{"deu_news_2024_1M_words.txt":735,"deu_wikipedia_2021_1M_words.txt":711,"deu-de_web_2021_1M_words.txt":72}
2765	berufliche	berufliche	1517	3	{"deu_news_2024_1M_words.txt":170,"deu_wikipedia_2021_1M_words.txt":197,"deu-de_web_2021_1M_words.txt":1150}
2766	dauerhaft	dauerhaft	1516	3	{"deu_news_2024_1M_words.txt":372,"deu_wikipedia_2021_1M_words.txt":388,"deu-de_web_2021_1M_words.txt":756}
2767	Einschränkungen	einschränkungen	1516	3	{"deu_news_2024_1M_words.txt":521,"deu_wikipedia_2021_1M_words.txt":185,"deu-de_web_2021_1M_words.txt":810}
2768	Erinnerung	erinnerung	1516	3	{"deu_news_2024_1M_words.txt":579,"deu_wikipedia_2021_1M_words.txt":501,"deu-de_web_2021_1M_words.txt":436}
2769	Frankfurter	frankfurter	1516	3	{"deu_news_2024_1M_words.txt":705,"deu_wikipedia_2021_1M_words.txt":486,"deu-de_web_2021_1M_words.txt":325}
2770	Gegenwart	gegenwart	1516	3	{"deu_news_2024_1M_words.txt":282,"deu_wikipedia_2021_1M_words.txt":806,"deu-de_web_2021_1M_words.txt":428}
2771	gehörten	gehörten	1516	3	{"deu_news_2024_1M_words.txt":280,"deu_wikipedia_2021_1M_words.txt":1121,"deu-de_web_2021_1M_words.txt":115}
2772	lohnt	lohnt	1516	3	{"deu_news_2024_1M_words.txt":545,"deu_wikipedia_2021_1M_words.txt":35,"deu-de_web_2021_1M_words.txt":936}
2773	Positionen	positionen	1516	3	{"deu_news_2024_1M_words.txt":506,"deu_wikipedia_2021_1M_words.txt":540,"deu-de_web_2021_1M_words.txt":470}
2774	Charakter	charakter	1514	3	{"deu_news_2024_1M_words.txt":329,"deu_wikipedia_2021_1M_words.txt":864,"deu-de_web_2021_1M_words.txt":321}
2775	Zweifel	zweifel	1513	3	{"deu_news_2024_1M_words.txt":742,"deu_wikipedia_2021_1M_words.txt":319,"deu-de_web_2021_1M_words.txt":452}
2776	Bäume	bäume	1512	3	{"deu_news_2024_1M_words.txt":735,"deu_wikipedia_2021_1M_words.txt":411,"deu-de_web_2021_1M_words.txt":366}
2777	umfangreiche	umfangreiche	1512	3	{"deu_news_2024_1M_words.txt":283,"deu_wikipedia_2021_1M_words.txt":540,"deu-de_web_2021_1M_words.txt":689}
2778	Infos	infos	1511	3	{"deu_news_2024_1M_words.txt":435,"deu_wikipedia_2021_1M_words.txt":12,"deu-de_web_2021_1M_words.txt":1064}
2779	Kölner	kölner	1511	3	{"deu_news_2024_1M_words.txt":542,"deu_wikipedia_2021_1M_words.txt":417,"deu-de_web_2021_1M_words.txt":552}
2780	überraschend	überraschend	1510	3	{"deu_news_2024_1M_words.txt":1015,"deu_wikipedia_2021_1M_words.txt":333,"deu-de_web_2021_1M_words.txt":162}
2781	Zimmer	zimmer	1508	3	{"deu_news_2024_1M_words.txt":420,"deu_wikipedia_2021_1M_words.txt":512,"deu-de_web_2021_1M_words.txt":576}
2782	Einstellung	einstellung	1506	3	{"deu_news_2024_1M_words.txt":359,"deu_wikipedia_2021_1M_words.txt":597,"deu-de_web_2021_1M_words.txt":550}
2783	breiten	breiten	1505	3	{"deu_news_2024_1M_words.txt":311,"deu_wikipedia_2021_1M_words.txt":684,"deu-de_web_2021_1M_words.txt":510}
2784	Gebiete	gebiete	1505	3	{"deu_news_2024_1M_words.txt":349,"deu_wikipedia_2021_1M_words.txt":772,"deu-de_web_2021_1M_words.txt":384}
2785	Kiel	kiel	1505	3	{"deu_news_2024_1M_words.txt":829,"deu_wikipedia_2021_1M_words.txt":418,"deu-de_web_2021_1M_words.txt":258}
2786	schlägt	schlägt	1505	3	{"deu_news_2024_1M_words.txt":756,"deu_wikipedia_2021_1M_words.txt":392,"deu-de_web_2021_1M_words.txt":357}
2787	bewertet	bewertet	1504	3	{"deu_news_2024_1M_words.txt":392,"deu_wikipedia_2021_1M_words.txt":330,"deu-de_web_2021_1M_words.txt":782}
2788	Stattdessen	stattdessen	1504	3	{"deu_news_2024_1M_words.txt":728,"deu_wikipedia_2021_1M_words.txt":520,"deu-de_web_2021_1M_words.txt":256}
2789	kündigte	kündigte	1503	3	{"deu_news_2024_1M_words.txt":908,"deu_wikipedia_2021_1M_words.txt":507,"deu-de_web_2021_1M_words.txt":88}
2790	Media	media	1503	3	{"deu_news_2024_1M_words.txt":496,"deu_wikipedia_2021_1M_words.txt":228,"deu-de_web_2021_1M_words.txt":779}
2791	Sollten	sollten	1503	3	{"deu_news_2024_1M_words.txt":270,"deu_wikipedia_2021_1M_words.txt":43,"deu-de_web_2021_1M_words.txt":1190}
2792	umfassende	umfassende	1503	3	{"deu_news_2024_1M_words.txt":341,"deu_wikipedia_2021_1M_words.txt":378,"deu-de_web_2021_1M_words.txt":784}
2793	Erkrankungen	erkrankungen	1502	3	{"deu_news_2024_1M_words.txt":284,"deu_wikipedia_2021_1M_words.txt":195,"deu-de_web_2021_1M_words.txt":1023}
2794	Olaf	olaf	1502	3	{"deu_news_2024_1M_words.txt":1151,"deu_wikipedia_2021_1M_words.txt":85,"deu-de_web_2021_1M_words.txt":266}
2795	verkaufen	verkaufen	1502	3	{"deu_news_2024_1M_words.txt":579,"deu_wikipedia_2021_1M_words.txt":475,"deu-de_web_2021_1M_words.txt":448}
2796	Ereignisse	ereignisse	1501	3	{"deu_news_2024_1M_words.txt":373,"deu_wikipedia_2021_1M_words.txt":670,"deu-de_web_2021_1M_words.txt":458}
2797	Klima	klima	1500	3	{"deu_news_2024_1M_words.txt":439,"deu_wikipedia_2021_1M_words.txt":413,"deu-de_web_2021_1M_words.txt":648}
2798	Amazon	amazon	1499	3	{"deu_news_2024_1M_words.txt":1044,"deu_wikipedia_2021_1M_words.txt":43,"deu-de_web_2021_1M_words.txt":412}
2799	Betreiber	betreiber	1499	3	{"deu_news_2024_1M_words.txt":539,"deu_wikipedia_2021_1M_words.txt":294,"deu-de_web_2021_1M_words.txt":666}
2800	verlegt	verlegt	1499	3	{"deu_news_2024_1M_words.txt":380,"deu_wikipedia_2021_1M_words.txt":833,"deu-de_web_2021_1M_words.txt":286}
2801	spannende	spannende	1498	3	{"deu_news_2024_1M_words.txt":438,"deu_wikipedia_2021_1M_words.txt":28,"deu-de_web_2021_1M_words.txt":1032}
2802	Verordnung	verordnung	1498	3	{"deu_news_2024_1M_words.txt":194,"deu_wikipedia_2021_1M_words.txt":314,"deu-de_web_2021_1M_words.txt":990}
2803	aktive	aktive	1497	3	{"deu_news_2024_1M_words.txt":330,"deu_wikipedia_2021_1M_words.txt":571,"deu-de_web_2021_1M_words.txt":596}
2804	ans	ans	1497	3	{"deu_news_2024_1M_words.txt":771,"deu_wikipedia_2021_1M_words.txt":313,"deu-de_web_2021_1M_words.txt":413}
2805	kleines	kleines	1497	3	{"deu_news_2024_1M_words.txt":509,"deu_wikipedia_2021_1M_words.txt":521,"deu-de_web_2021_1M_words.txt":467}
2806	Schritte	schritte	1497	3	{"deu_news_2024_1M_words.txt":552,"deu_wikipedia_2021_1M_words.txt":188,"deu-de_web_2021_1M_words.txt":757}
2807	Forderungen	forderungen	1496	3	{"deu_news_2024_1M_words.txt":687,"deu_wikipedia_2021_1M_words.txt":358,"deu-de_web_2021_1M_words.txt":451}
2808	gewinnt	gewinnt	1496	3	{"deu_news_2024_1M_words.txt":668,"deu_wikipedia_2021_1M_words.txt":336,"deu-de_web_2021_1M_words.txt":492}
2809	Kräfte	kräfte	1496	3	{"deu_news_2024_1M_words.txt":636,"deu_wikipedia_2021_1M_words.txt":583,"deu-de_web_2021_1M_words.txt":277}
2810	Stein	stein	1496	3	{"deu_news_2024_1M_words.txt":347,"deu_wikipedia_2021_1M_words.txt":944,"deu-de_web_2021_1M_words.txt":205}
2811	Jedoch	jedoch	1495	3	{"deu_news_2024_1M_words.txt":268,"deu_wikipedia_2021_1M_words.txt":880,"deu-de_web_2021_1M_words.txt":347}
2812	Walter	walter	1495	3	{"deu_news_2024_1M_words.txt":449,"deu_wikipedia_2021_1M_words.txt":838,"deu-de_web_2021_1M_words.txt":208}
2813	Akteure	akteure	1494	3	{"deu_news_2024_1M_words.txt":373,"deu_wikipedia_2021_1M_words.txt":154,"deu-de_web_2021_1M_words.txt":967}
2814	englischen	englischen	1494	3	{"deu_news_2024_1M_words.txt":343,"deu_wikipedia_2021_1M_words.txt":935,"deu-de_web_2021_1M_words.txt":216}
2815	Fach	fach	1494	3	{"deu_news_2024_1M_words.txt":124,"deu_wikipedia_2021_1M_words.txt":221,"deu-de_web_2021_1M_words.txt":1149}
2816	jedenfalls	jedenfalls	1494	3	{"deu_news_2024_1M_words.txt":1042,"deu_wikipedia_2021_1M_words.txt":191,"deu-de_web_2021_1M_words.txt":261}
2817	Karlsruhe	karlsruhe	1493	3	{"deu_news_2024_1M_words.txt":428,"deu_wikipedia_2021_1M_words.txt":315,"deu-de_web_2021_1M_words.txt":750}
2818	Regen	regen	1492	3	{"deu_news_2024_1M_words.txt":929,"deu_wikipedia_2021_1M_words.txt":268,"deu-de_web_2021_1M_words.txt":295}
2819	beschäftigen	beschäftigen	1491	3	{"deu_news_2024_1M_words.txt":415,"deu_wikipedia_2021_1M_words.txt":208,"deu-de_web_2021_1M_words.txt":868}
2820	dürften	dürften	1491	3	{"deu_news_2024_1M_words.txt":1117,"deu_wikipedia_2021_1M_words.txt":190,"deu-de_web_2021_1M_words.txt":184}
2821	Mehrere	mehrere	1491	3	{"deu_news_2024_1M_words.txt":779,"deu_wikipedia_2021_1M_words.txt":506,"deu-de_web_2021_1M_words.txt":206}
2822	Studiengang	studiengang	1491	3	{"deu_news_2024_1M_words.txt":27,"deu_wikipedia_2021_1M_words.txt":67,"deu-de_web_2021_1M_words.txt":1397}
2823	Bonn	bonn	1490	3	{"deu_news_2024_1M_words.txt":456,"deu_wikipedia_2021_1M_words.txt":525,"deu-de_web_2021_1M_words.txt":509}
2824	Iran	iran	1490	3	{"deu_news_2024_1M_words.txt":1100,"deu_wikipedia_2021_1M_words.txt":294,"deu-de_web_2021_1M_words.txt":96}
2825	Geschwindigkeit	geschwindigkeit	1489	3	{"deu_news_2024_1M_words.txt":519,"deu_wikipedia_2021_1M_words.txt":620,"deu-de_web_2021_1M_words.txt":350}
2826	Sorge	sorge	1489	3	{"deu_news_2024_1M_words.txt":826,"deu_wikipedia_2021_1M_words.txt":180,"deu-de_web_2021_1M_words.txt":483}
2827	speziellen	speziellen	1489	3	{"deu_news_2024_1M_words.txt":319,"deu_wikipedia_2021_1M_words.txt":406,"deu-de_web_2021_1M_words.txt":764}
2828	allgemeine	allgemeine	1488	3	{"deu_news_2024_1M_words.txt":240,"deu_wikipedia_2021_1M_words.txt":448,"deu-de_web_2021_1M_words.txt":800}
2829	Instagram	instagram	1488	3	{"deu_news_2024_1M_words.txt":845,"deu_wikipedia_2021_1M_words.txt":16,"deu-de_web_2021_1M_words.txt":627}
2830	entlassen	entlassen	1484	3	{"deu_news_2024_1M_words.txt":404,"deu_wikipedia_2021_1M_words.txt":957,"deu-de_web_2021_1M_words.txt":123}
2831	genaue	genaue	1484	3	{"deu_news_2024_1M_words.txt":429,"deu_wikipedia_2021_1M_words.txt":647,"deu-de_web_2021_1M_words.txt":408}
2832	Kenntnisse	kenntnisse	1484	3	{"deu_news_2024_1M_words.txt":81,"deu_wikipedia_2021_1M_words.txt":281,"deu-de_web_2021_1M_words.txt":1122}
2833	sächsischen	sächsischen	1484	3	{"deu_news_2024_1M_words.txt":168,"deu_wikipedia_2021_1M_words.txt":237,"deu-de_web_2021_1M_words.txt":1079}
2834	vieles	vieles	1484	3	{"deu_news_2024_1M_words.txt":565,"deu_wikipedia_2021_1M_words.txt":93,"deu-de_web_2021_1M_words.txt":826}
2835	Maßnahme	maßnahme	1483	3	{"deu_news_2024_1M_words.txt":527,"deu_wikipedia_2021_1M_words.txt":246,"deu-de_web_2021_1M_words.txt":710}
2836	Pflicht	pflicht	1483	3	{"deu_news_2024_1M_words.txt":443,"deu_wikipedia_2021_1M_words.txt":200,"deu-de_web_2021_1M_words.txt":840}
2837	West	west	1483	3	{"deu_news_2024_1M_words.txt":443,"deu_wikipedia_2021_1M_words.txt":847,"deu-de_web_2021_1M_words.txt":193}
2838	britische	britische	1482	3	{"deu_news_2024_1M_words.txt":679,"deu_wikipedia_2021_1M_words.txt":668,"deu-de_web_2021_1M_words.txt":135}
2839	bewerben	bewerben	1481	3	{"deu_news_2024_1M_words.txt":200,"deu_wikipedia_2021_1M_words.txt":65,"deu-de_web_2021_1M_words.txt":1216}
2840	gelöscht	gelöscht	1481	3	{"deu_news_2024_1M_words.txt":275,"deu_wikipedia_2021_1M_words.txt":109,"deu-de_web_2021_1M_words.txt":1097}
2841	Keller	keller	1479	3	{"deu_news_2024_1M_words.txt":706,"deu_wikipedia_2021_1M_words.txt":501,"deu-de_web_2021_1M_words.txt":272}
2842	Rom	rom	1477	3	{"deu_news_2024_1M_words.txt":472,"deu_wikipedia_2021_1M_words.txt":849,"deu-de_web_2021_1M_words.txt":156}
2843	langfristig	langfristig	1475	3	{"deu_news_2024_1M_words.txt":583,"deu_wikipedia_2021_1M_words.txt":144,"deu-de_web_2021_1M_words.txt":748}
2844	schnelle	schnelle	1475	3	{"deu_news_2024_1M_words.txt":533,"deu_wikipedia_2021_1M_words.txt":268,"deu-de_web_2021_1M_words.txt":674}
2845	reagiert	reagiert	1474	3	{"deu_news_2024_1M_words.txt":822,"deu_wikipedia_2021_1M_words.txt":242,"deu-de_web_2021_1M_words.txt":410}
2846	Übernahme	übernahme	1474	3	{"deu_news_2024_1M_words.txt":428,"deu_wikipedia_2021_1M_words.txt":582,"deu-de_web_2021_1M_words.txt":464}
2847	aktiven	aktiven	1473	3	{"deu_news_2024_1M_words.txt":276,"deu_wikipedia_2021_1M_words.txt":678,"deu-de_web_2021_1M_words.txt":519}
2848	wiederholt	wiederholt	1473	3	{"deu_news_2024_1M_words.txt":470,"deu_wikipedia_2021_1M_words.txt":677,"deu-de_web_2021_1M_words.txt":326}
2849	Verlängerung	verlängerung	1472	3	{"deu_news_2024_1M_words.txt":483,"deu_wikipedia_2021_1M_words.txt":516,"deu-de_web_2021_1M_words.txt":473}
2850	übergeben	übergeben	1471	3	{"deu_news_2024_1M_words.txt":486,"deu_wikipedia_2021_1M_words.txt":621,"deu-de_web_2021_1M_words.txt":364}
2851	Hände	hände	1469	3	{"deu_news_2024_1M_words.txt":538,"deu_wikipedia_2021_1M_words.txt":439,"deu-de_web_2021_1M_words.txt":492}
2852	Tatsächlich	tatsächlich	1468	3	{"deu_news_2024_1M_words.txt":720,"deu_wikipedia_2021_1M_words.txt":493,"deu-de_web_2021_1M_words.txt":255}
2853	wechseln	wechseln	1468	3	{"deu_news_2024_1M_words.txt":533,"deu_wikipedia_2021_1M_words.txt":297,"deu-de_web_2021_1M_words.txt":638}
2854	entscheidend	entscheidend	1467	3	{"deu_news_2024_1M_words.txt":601,"deu_wikipedia_2021_1M_words.txt":274,"deu-de_web_2021_1M_words.txt":592}
2855	Figur	figur	1467	3	{"deu_news_2024_1M_words.txt":444,"deu_wikipedia_2021_1M_words.txt":872,"deu-de_web_2021_1M_words.txt":151}
2856	Matratze	matratze	1467	3	{"deu_news_2024_1M_words.txt":38,"deu_wikipedia_2021_1M_words.txt":4,"deu-de_web_2021_1M_words.txt":1425}
2857	ausgetragen	ausgetragen	1466	3	{"deu_news_2024_1M_words.txt":324,"deu_wikipedia_2021_1M_words.txt":1030,"deu-de_web_2021_1M_words.txt":112}
2858	Bundesländern	bundesländern	1466	3	{"deu_news_2024_1M_words.txt":494,"deu_wikipedia_2021_1M_words.txt":212,"deu-de_web_2021_1M_words.txt":760}
2859	Vorschriften	vorschriften	1466	3	{"deu_news_2024_1M_words.txt":222,"deu_wikipedia_2021_1M_words.txt":249,"deu-de_web_2021_1M_words.txt":995}
2860	Botschaft	botschaft	1465	3	{"deu_news_2024_1M_words.txt":735,"deu_wikipedia_2021_1M_words.txt":362,"deu-de_web_2021_1M_words.txt":368}
2861	laden	laden	1465	3	{"deu_news_2024_1M_words.txt":404,"deu_wikipedia_2021_1M_words.txt":78,"deu-de_web_2021_1M_words.txt":983}
2862	Landschaft	landschaft	1465	3	{"deu_news_2024_1M_words.txt":296,"deu_wikipedia_2021_1M_words.txt":706,"deu-de_web_2021_1M_words.txt":463}
2863	Spenden	spenden	1465	3	{"deu_news_2024_1M_words.txt":468,"deu_wikipedia_2021_1M_words.txt":326,"deu-de_web_2021_1M_words.txt":671}
2864	digital	digital	1464	3	{"deu_news_2024_1M_words.txt":211,"deu_wikipedia_2021_1M_words.txt":105,"deu-de_web_2021_1M_words.txt":1148}
2865	weißen	weißen	1464	3	{"deu_news_2024_1M_words.txt":459,"deu_wikipedia_2021_1M_words.txt":781,"deu-de_web_2021_1M_words.txt":224}
2866	erwerben	erwerben	1462	3	{"deu_news_2024_1M_words.txt":214,"deu_wikipedia_2021_1M_words.txt":261,"deu-de_web_2021_1M_words.txt":987}
2867	Turnier	turnier	1462	3	{"deu_news_2024_1M_words.txt":682,"deu_wikipedia_2021_1M_words.txt":680,"deu-de_web_2021_1M_words.txt":100}
2868	versteht	versteht	1462	3	{"deu_news_2024_1M_words.txt":394,"deu_wikipedia_2021_1M_words.txt":361,"deu-de_web_2021_1M_words.txt":707}
2869	desto	desto	1459	3	{"deu_news_2024_1M_words.txt":482,"deu_wikipedia_2021_1M_words.txt":277,"deu-de_web_2021_1M_words.txt":700}
2870	eindeutig	eindeutig	1459	3	{"deu_news_2024_1M_words.txt":477,"deu_wikipedia_2021_1M_words.txt":519,"deu-de_web_2021_1M_words.txt":463}
2871	schriftlich	schriftlich	1459	3	{"deu_news_2024_1M_words.txt":135,"deu_wikipedia_2021_1M_words.txt":270,"deu-de_web_2021_1M_words.txt":1054}
2872	Großen	großen	1458	3	{"deu_news_2024_1M_words.txt":421,"deu_wikipedia_2021_1M_words.txt":674,"deu-de_web_2021_1M_words.txt":363}
2873	holen	holen	1458	3	{"deu_news_2024_1M_words.txt":770,"deu_wikipedia_2021_1M_words.txt":249,"deu-de_web_2021_1M_words.txt":439}
2874	gaben	gaben	1457	3	{"deu_news_2024_1M_words.txt":643,"deu_wikipedia_2021_1M_words.txt":568,"deu-de_web_2021_1M_words.txt":246}
2875	italienischen	italienischen	1457	3	{"deu_news_2024_1M_words.txt":505,"deu_wikipedia_2021_1M_words.txt":808,"deu-de_web_2021_1M_words.txt":144}
2876	Reich	reich	1457	3	{"deu_news_2024_1M_words.txt":227,"deu_wikipedia_2021_1M_words.txt":1043,"deu-de_web_2021_1M_words.txt":187}
2877	Trend	trend	1457	3	{"deu_news_2024_1M_words.txt":827,"deu_wikipedia_2021_1M_words.txt":172,"deu-de_web_2021_1M_words.txt":458}
2878	Lesen	lesen	1456	3	{"deu_news_2024_1M_words.txt":325,"deu_wikipedia_2021_1M_words.txt":156,"deu-de_web_2021_1M_words.txt":975}
2879	aufgeführt	aufgeführt	1455	3	{"deu_news_2024_1M_words.txt":172,"deu_wikipedia_2021_1M_words.txt":824,"deu-de_web_2021_1M_words.txt":459}
2880	Vorschlag	vorschlag	1455	3	{"deu_news_2024_1M_words.txt":675,"deu_wikipedia_2021_1M_words.txt":393,"deu-de_web_2021_1M_words.txt":387}
2881	Grundsätzlich	grundsätzlich	1454	3	{"deu_news_2024_1M_words.txt":367,"deu_wikipedia_2021_1M_words.txt":166,"deu-de_web_2021_1M_words.txt":921}
2882	übrigens	übrigens	1454	3	{"deu_news_2024_1M_words.txt":922,"deu_wikipedia_2021_1M_words.txt":48,"deu-de_web_2021_1M_words.txt":484}
2883	zeichnet	zeichnet	1454	3	{"deu_news_2024_1M_words.txt":419,"deu_wikipedia_2021_1M_words.txt":374,"deu-de_web_2021_1M_words.txt":661}
